2019-07-23 21:51:02.959975|ontap_scrapped - pub Warkot Klubopiwiarnia
2019-07-23 21:51:07.243818|ontap_scrapped - pub Z Innej Beczki
2019-07-23 21:51:14.146946|ontap_scrapped - pub Piwnica Winnica
2019-07-23 21:51:18.924573|ontap_scrapped - pub Winus Club
2019-07-23 21:51:23.936040|ontap_scrapped - pub Pijana Czapla
2019-07-23 21:51:29.652169|ontap_scrapped - pub Vinyl Pub
2019-07-23 21:51:34.525256|ontap_scrapped - pub Pub Browaru PROBUS
2019-07-23 21:51:39.249149|ontap_scrapped - pub Delikatesy
2019-07-23 21:51:44.345309|ontap_scrapped - pub Pod Arkadami
2019-07-23 21:51:55.570120|ontap_scrapped - pub Piwiarnia u Bossmana
2019-07-23 21:51:58.902681|ontap_scrapped - pub Piwosfera
2019-07-23 21:52:02.739094|ontap_scrapped - pub Zbrojownia
2019-07-23 21:52:09.421210|ontap_scrapped - pub Chmielnik
2019-07-23 21:52:13.933657|ontap_scrapped - pub Dom Piwa
2019-07-23 21:52:17.865148|ontap_scrapped - pub Fermentownia
2019-07-23 21:52:23.864718|ontap_scrapped - pub Istny
2019-07-23 21:52:30.580293|ontap_scrapped - pub Jabeerwocky Poznań
2019-07-23 21:52:37.222404|ontap_scrapped - pub Lot Chmiela
2019-07-23 21:52:40.611701|ontap_scrapped - pub Ministerstwo Browaru Ratajczaka
2019-07-23 21:52:44.429277|ontap_scrapped - pub Ministerstwo Browaru Wroniecka
2019-07-23 21:52:49.904557|ontap_scrapped - pub Napiwek Pub
2019-07-23 21:52:53.722328|ontap_scrapped - pub Piwna Stopa - Craft Beer Pub
2019-07-23 21:52:58.785614|ontap_scrapped - pub Van Gogh
2019-07-23 21:53:02.704075|ontap_scrapped - pub Wściekły Chmiel
2019-07-23 21:53:10.568037|ontap_scrapped - pub Browar Alternatywa
2019-07-23 21:53:17.069499|ontap_scrapped - pub Zbeereźnik
2019-07-23 21:53:22.424876|ontap_scrapped - pub Lord Jack
